temperature,vibration,pressure,runtime_hours,machine_age,load_percentage,risk
79.98,6.74,6.6,13477.39,7.58,41.83,High
46.89,3.36,5.75,6124.32,2.89,57.39,Low
108.75,5.04,7.35,8919.2,10.11,26.72,High
53.82,4.42,1.35,5748.65,3.57,46.15,Low
63.09,8.59,3.95,12540.17,7.32,79.92,Medium
109.99,3.47,5.55,11740.37,9.95,80.34,High
57.96,0.67,2.07,1980.69,10.21,65.12,Low
75.23,2.68,3.58,9127.8,14.47,77.47,Medium
107.71,1.42,1.18,4748.16,10.32,96.65,High
106.2,2.19,5.14,12475.52,4.02,75.78,Medium
100.27,5.6,1.85,14759.28,11.85,47.78,High
88.0,1.09,5.53,288.52,6.59,59.22,Low
107.45,5.9,6.8,10638.9,6.81,78.7,High
85.03,8.32,6.42,7026.62,12.47,67.4,Medium
100.36,7.56,1.61,13236.3,4.04,57.18,High
88.43,3.36,4.46,4942.71,7.57,48.39,Low
67.12,7.98,5.91,4216.4,0.65,95.85,Medium
60.69,3.95,4.89,3680.83,7.4,76.95,Low
96.54,1.29,2.55,10407.63,4.94,66.52,Low
80.98,3.42,7.98,8300.79,5.6,56.3,Medium
61.34,1.53,2.35,1881.37,8.27,80.98,Low
57.45,6.78,2.94,8884.84,11.52,67.74,Medium
99.12,3.02,3.53,4603.79,10.77,30.13,Low
108.33,5.2,5.88,1981.56,13.09,59.27,Medium
82.31,4.49,4.08,2847.02,1.24,95.29,Low
52.42,1.06,4.44,8697.62,10.45,32.14,Medium
106.69,1.22,2.74,8415.29,6.53,67.69,Medium
59.67,4.94,4.15,6696.54,12.97,99.2,Medium
81.96,1.01,7.72,1578.58,11.56,70.04,Medium
87.93,1.83,2.22,1218.47,0.54,56.04,Low
75.54,0.78,3.02,4312.5,12.96,25.69,Low
105.05,7.2,5.38,9951.63,14.04,54.01,High
59.61,1.77,2.86,2219.32,1.36,83.41,Low
93.68,5.34,3.02,1952.87,10.49,75.98,Medium
77.53,4.7,1.56,693.93,6.76,45.79,Medium
46.68,2.45,5.72,12921.7,9.01,21.66,Medium
82.46,6.99,2.23,7832.56,6.91,42.25,High
73.33,7.42,7.78,7103.15,6.42,45.68,Medium
100.75,3.3,5.86,4394.45,14.21,85.09,High
47.39,1.25,2.77,1827.23,11.7,89.19,Low
87.75,5.11,3.89,2894.98,5.75,80.52,Low
94.4,2.23,4.84,13922.32,6.85,75.86,Medium
46.88,5.86,6.6,10675.76,5.01,21.09,Medium
51.06,8.93,7.39,6975.57,2.2,86.57,Medium
105.62,2.98,5.94,6290.81,7.5,57.78,Medium
80.83,3.76,7.45,7672.79,13.25,89.12,High
95.22,7.76,3.38,11836.99,4.37,20.21,Medium
99.44,5.43,5.62,12992.38,6.97,58.75,High
80.87,5.12,4.19,4894.48,3.24,75.8,Medium
69.89,7.78,3.88,4840.83,7.36,93.07,Medium
70.1,6.14,6.75,14714.19,7.68,22.96,High
107.75,3.32,1.7,12691.09,1.95,92.84,High
91.96,3.98,5.58,2399.98,7.31,97.54,Medium
85.51,3.88,1.56,4995.63,10.28,62.69,Medium
85.74,8.04,4.42,8161.14,9.45,38.78,Medium
109.83,6.85,4.04,1566.8,9.69,89.81,High
55.81,3.05,1.2,4933.18,1.31,48.68,Low
54.46,5.01,4.96,11908.54,2.96,26.32,Low
85.28,2.55,7.39,2232.45,7.19,40.32,Medium
88.34,8.14,4.26,4385.71,8.43,25.91,Medium
109.2,3.04,7.73,10385.67,7.12,44.17,Medium
100.47,1.41,3.67,5448.49,4.79,75.94,Low
108.57,6.09,2.92,8532.34,10.44,79.57,Medium
104.19,6.83,6.83,13553.73,11.75,38.41,High
59.24,2.12,2.75,11358.1,11.63,74.47,Medium
85.84,8.18,5.52,4703.1,6.89,66.37,Medium
50.86,3.01,6.23,2717.04,2.42,63.15,Low
79.51,8.26,6.81,3928.85,12.46,58.55,High
93.53,3.38,1.81,14447.11,2.54,97.32,High
107.87,7.34,3.56,11881.16,0.7,62.93,Medium
68.96,6.87,2.84,5777.28,9.76,49.72,Low
75.65,5.77,7.6,4987.29,9.35,71.81,Medium
104.11,3.07,3.86,2182.68,14.22,44.35,Medium
52.55,2.5,4.76,5890.82,5.88,95.95,Low
72.24,6.81,2.08,6281.78,1.94,59.15,Low
106.04,2.88,5.83,3337.32,6.95,38.89,Medium
51.46,6.33,4.81,14669.85,5.7,51.85,Low
107.93,8.57,6.77,1465.93,3.58,71.16,Medium
48.29,3.33,7.92,11825.97,3.48,86.39,Medium
58.47,2.34,7.09,4995.54,2.64,92.04,Low
63.02,8.86,7.91,8149.21,12.08,28.79,Medium
53.57,3.55,6.52,8873.91,0.73,41.23,Low
93.21,4.97,6.22,7196.06,11.78,61.06,Medium
74.38,2.38,5.31,10935.92,13.68,72.71,Medium
74.77,8.69,1.43,7236.83,6.32,74.89,Medium
91.31,4.27,7.29,4899.47,2.65,30.1,Medium
86.15,5.16,3.28,14919.95,8.19,56.3,Medium
72.96,7.24,1.8,9855.22,13.23,64.11,Medium
72.95,8.05,3.9,12428.55,6.28,78.37,Medium
72.74,6.15,3.62,2374.32,13.88,25.37,Low
51.06,1.32,6.17,12195.36,8.57,66.92,Medium
81.51,6.2,3.88,13116.75,14.15,53.83,Medium
107.95,5.6,3.46,8710.99,3.58,72.54,Medium
100.07,3.48,4.89,1811.79,4.54,38.09,Low
99.94,8.78,6.73,9242.24,9.82,22.1,High
46.88,2.82,6.34,13830.91,5.59,34.51,Low
81.81,3.91,1.99,9534.26,0.94,79.69,Medium
69.45,4.36,2.1,4743.4,5.2,95.31,Medium
50.52,0.95,2.1,9305.79,10.27,41.77,Medium
76.57,4.26,2.91,11348.65,2.15,54.39,Low
89.08,5.54,4.69,4695.45,3.7,98.76,Low
45.5,3.06,2.48,2144.8,4.21,46.25,Low
77.33,4.16,1.9,8035.48,3.84,64.7,Low
49.68,7.82,1.3,379.25,13.86,88.97,High
72.9,3.94,5.48,4413.78,6.37,97.3,Low
97.09,5.75,6.82,13804.57,1.78,87.56,High
73.32,3.9,1.55,13070.81,11.31,37.73,Medium
49.96,5.88,4.71,2989.17,11.76,48.09,Low
60.36,1.74,2.38,9075.74,11.52,72.44,Medium
106.83,5.84,4.25,8499.66,8.9,74.49,High
86.79,8.89,3.26,14567.5,5.08,55.18,Medium
73.74,3.07,2.92,936.96,7.86,44.83,Low
47.44,3.63,3.01,9705.53,14.67,27.22,Medium
77.96,4.43,4.88,11898.09,13.49,55.98,Medium
87.37,3.23,4.33,2347.83,1.4,28.28,Low
108.86,1.22,5.52,683.22,10.76,99.28,High
78.98,1.85,3.61,4315.11,6.43,47.07,Low
48.4,5.86,3.34,5012.39,8.59,50.93,Low
92.04,6.08,7.34,13111.87,5.33,66.62,High
104.59,3.14,5.59,9965.81,2.37,76.71,Medium
65.12,3.7,6.54,12216.45,10.22,86.32,High
51.07,6.2,4.56,371.64,4.98,96.09,Low
106.6,4.63,2.59,2149.72,1.62,87.55,Low
78.0,5.09,6.17,7945.32,10.1,90.11,High
53.52,3.7,2.14,12487.04,11.68,84.72,Medium
91.88,0.87,3.55,10821.83,14.56,68.85,Medium
60.21,2.53,7.76,11787.12,13.61,35.52,High
108.99,4.42,2.97,5789.9,8.15,97.3,Medium
97.08,1.68,2.75,9653.57,13.17,64.36,Medium
91.24,4.89,1.87,1349.74,2.82,55.95,Medium
54.58,4.22,7.62,3408.37,7.04,47.97,Low
71.97,3.87,3.62,5853.88,1.68,37.96,Low
105.5,7.63,5.55,11891.57,2.5,42.95,High
90.24,1.68,5.94,6784.16,0.58,26.34,Low
59.02,1.77,7.58,9172.31,6.64,82.09,Medium
64.57,0.91,3.94,11929.1,7.13,28.87,Low
83.79,0.64,4.61,3704.88,2.58,54.34,Low
67.93,5.35,2.31,10056.4,8.09,48.85,Medium
80.37,7.18,4.55,402.98,13.16,23.48,Medium
108.77,2.66,1.11,11848.95,5.5,78.64,Medium
95.15,6.75,3.33,760.6,8.42,85.08,Medium
98.97,6.32,7.87,7230.11,3.14,30.79,Medium
47.4,2.21,6.54,13298.28,5.08,44.81,Medium
109.29,5.12,2.77,11324.03,3.27,48.56,Medium
101.28,3.32,1.87,5583.49,13.4,79.46,Medium
67.04,2.09,5.84,5573.47,12.06,41.34,Low
92.26,1.17,5.22,12352.89,8.41,45.7,Medium
66.31,3.01,4.12,10793.18,2.92,55.51,Low
47.75,7.9,3.47,14972.44,4.48,98.4,Medium
49.88,5.92,3.54,12036.33,10.35,96.22,High
100.16,6.26,4.07,1980.83,3.92,71.61,Low
69.89,5.32,5.24,10218.02,14.26,49.76,Low
82.3,5.0,3.79,9778.45,4.12,29.08,Low
77.44,3.79,4.93,4000.47,4.27,55.7,Low
63.56,8.29,4.44,1927.3,12.87,56.16,Medium
109.82,7.39,7.77,14799.96,10.18,76.76,High
80.24,8.08,6.96,10705.96,13.95,71.02,High
78.07,1.53,2.41,2169.27,11.96,22.1,Medium
82.2,4.47,7.88,2033.59,13.32,25.26,Medium
109.97,6.61,4.68,11560.55,12.44,25.9,High
86.75,4.32,5.76,5233.27,13.23,82.42,Medium
56.83,8.71,4.03,13669.61,1.3,29.93,Medium
64.77,1.88,7.54,3459.51,14.24,61.51,Medium
99.99,2.63,5.45,8307.54,2.31,44.23,Medium
51.07,5.95,5.14,8751.63,2.98,69.96,Low
66.95,8.35,1.29,12970.34,1.68,95.88,High
62.2,2.29,5.0,9309.82,0.94,91.12,Medium
63.83,8.63,4.38,12089.85,10.43,43.79,Medium
89.76,1.84,3.91,7020.19,5.43,31.49,Low
92.72,7.82,7.83,2048.42,5.87,64.93,Medium
60.71,1.54,4.15,2199.08,1.23,95.63,Low
72.18,8.68,7.32,12220.82,14.04,77.69,High
94.6,4.74,4.6,7531.52,4.97,21.85,Medium
77.85,8.72,2.51,5358.14,1.23,59.59,Low
63.57,0.57,1.75,2095.63,4.33,49.26,Low
68.79,3.9,4.99,3000.36,8.52,25.88,Low
74.27,5.17,6.78,9386.3,9.36,30.29,Medium
70.6,7.26,3.37,14090.33,11.45,35.92,High
71.09,0.84,1.27,10732.52,12.16,61.55,Medium
84.41,4.88,3.3,9234.72,2.86,99.25,Medium
83.59,4.81,4.57,7398.72,8.66,57.99,Low
68.94,6.23,7.86,8797.16,12.05,78.03,Medium
83.8,2.76,5.59,14583.65,8.89,38.2,Medium
82.93,1.95,5.4,9334.06,12.7,31.82,Medium
47.05,8.56,1.77,382.17,5.05,32.11,Medium
71.67,7.09,7.44,13104.98,11.17,24.98,High
78.71,5.27,7.99,7227.73,5.96,96.53,Medium
104.29,3.41,3.48,11602.65,10.95,71.46,Medium
84.65,2.13,2.73,8415.49,3.76,97.83,Medium
95.13,6.49,5.83,7386.15,7.46,64.84,Medium
63.71,5.37,4.8,13446.83,6.22,47.61,Medium
63.88,2.94,6.0,5260.82,6.91,40.52,Low
58.91,7.54,2.9,8474.07,4.44,28.74,Medium
60.55,0.93,7.34,3462.51,3.88,28.02,Low
91.63,1.35,6.4,177.2,8.48,94.33,Medium
87.44,7.99,4.33,9793.03,11.46,42.98,Medium
86.98,8.22,1.63,8654.59,8.26,77.85,High
104.36,1.99,7.18,2719.25,13.83,99.77,High
96.22,2.08,6.24,13097.13,4.7,23.0,Medium
81.92,1.41,7.88,4339.97,14.84,63.46,Medium
102.8,1.64,4.53,4165.27,12.23,46.45,Medium
87.14,6.61,1.1,5122.97,4.78,73.95,Medium
56.41,7.78,7.28,12422.15,7.97,26.94,Medium
57.01,1.7,3.27,3795.9,4.28,38.84,Low
107.01,3.07,6.06,270.39,9.98,75.42,Medium
88.41,4.46,2.12,10322.5,13.89,91.02,High
89.87,5.93,7.58,5576.4,3.7,96.59,Medium
54.96,6.86,5.24,6296.1,8.46,57.67,Medium
97.13,7.52,6.33,10237.09,9.14,82.99,High
74.04,6.48,1.55,8506.11,1.4,63.81,Medium
58.14,5.06,2.15,12831.84,6.91,74.42,High
76.77,8.14,4.12,928.97,2.41,53.23,Low
48.75,4.43,6.65,10876.87,6.24,85.32,Medium
82.59,0.88,3.41,1050.02,14.91,94.77,Medium
109.1,4.51,3.01,2781.72,2.46,71.32,Low
69.34,8.08,4.14,13765.01,5.97,26.42,Medium
53.64,7.81,1.83,14893.42,6.2,30.19,Medium
99.26,6.93,7.85,6998.76,10.93,53.93,High
98.52,2.6,3.42,4207.18,14.09,78.0,Medium
47.09,6.11,5.3,14049.95,13.39,39.25,Medium
51.56,0.79,5.18,10578.97,1.21,79.24,Low
73.53,5.09,6.28,11663.35,2.53,99.48,Medium
98.03,6.72,3.23,9008.97,10.25,45.65,High
101.96,8.88,4.65,6262.05,4.49,64.54,Medium
102.18,8.25,5.38,6465.29,7.69,97.78,High
96.08,3.21,3.91,2323.34,5.96,80.35,Low
60.66,2.42,7.0,2250.84,7.21,24.61,Low
107.91,5.24,1.94,3718.59,3.45,71.74,Medium
100.06,1.29,6.07,2938.18,4.39,73.89,Medium
47.57,1.12,6.63,8855.0,10.24,37.36,Medium
101.52,3.33,7.7,328.47,14.09,96.97,High
93.55,6.91,7.4,10464.83,10.7,51.73,High
80.89,7.09,3.66,8051.39,5.71,40.92,Medium
102.38,4.46,6.62,10863.96,11.54,45.62,High
69.1,4.02,4.94,3396.98,2.62,40.86,Low
82.64,4.05,2.07,5014.99,6.01,86.67,Medium
80.79,8.52,3.36,11474.07,7.59,77.88,High
74.95,6.73,3.47,2185.38,8.42,34.72,Medium
109.37,8.64,4.67,12602.12,1.58,85.44,Medium
94.68,4.01,6.9,3548.36,10.75,20.73,High
74.64,1.01,5.46,14015.17,13.73,72.74,Medium
45.43,5.19,1.08,7988.32,4.48,98.2,Medium
77.64,6.43,4.01,14101.71,3.1,93.44,Medium
54.68,2.13,4.69,12246.69,4.38,51.75,Low
107.35,4.4,2.7,10488.82,4.85,86.24,Low
87.49,7.79,6.32,1493.16,6.0,64.22,Low
86.39,6.47,1.58,12695.41,9.85,46.5,Medium
103.16,8.31,2.61,13528.97,10.54,65.34,High
48.03,1.13,7.48,13499.74,8.67,22.63,Medium
46.02,2.26,2.01,12328.29,12.4,94.31,High
55.56,2.54,6.84,5898.43,13.5,46.54,Medium
96.38,6.36,1.55,11207.3,5.51,27.81,High
99.51,3.4,6.38,14327.39,6.25,81.88,Medium
86.22,7.16,4.15,3499.26,8.52,50.03,Medium
89.18,6.12,1.6,9317.38,12.07,77.05,High
62.42,3.73,6.49,2398.73,6.15,48.86,Low
45.34,3.12,3.52,4119.52,2.42,34.99,Low
81.2,4.86,1.72,1435.32,8.54,67.75,Medium
101.14,0.6,3.9,11709.62,11.01,64.76,Medium
82.18,1.94,3.67,2168.72,4.87,59.45,Low
55.87,2.85,3.1,11761.73,5.74,95.54,Medium
83.6,2.16,1.75,4639.4,14.26,46.58,Medium
69.69,7.83,4.08,6516.18,12.44,72.08,Medium
53.85,3.23,7.63,3092.69,5.06,97.17,Medium
63.94,6.41,4.44,8680.6,4.02,50.08,Low
68.73,8.42,2.4,14959.25,3.11,81.41,Medium
106.95,4.42,5.96,6632.98,4.72,75.43,Medium
88.74,1.68,3.12,3864.96,2.74,53.85,Low
49.81,8.92,4.35,6072.0,7.85,93.63,Medium
80.34,7.22,3.52,13442.97,8.29,71.05,Medium
52.11,2.61,5.65,2578.44,9.38,65.06,Low
107.84,3.32,6.57,1678.57,1.93,37.76,Medium
81.27,6.35,2.55,5674.38,7.21,74.36,Medium
54.8,8.98,4.38,4501.94,13.85,26.87,Medium
67.64,3.42,6.49,7864.61,5.55,27.81,Low
65.73,3.05,6.67,1814.77,12.81,71.84,Medium
105.44,6.79,4.61,8323.46,5.3,54.11,Medium
60.07,3.94,2.29,9643.14,6.77,22.34,Medium
102.4,4.32,4.01,166.31,3.61,42.27,Low
82.53,7.3,4.76,5550.32,3.36,29.12,Low
79.3,5.93,5.18,9208.5,9.01,47.83,Medium
85.13,7.42,5.94,4531.93,9.41,26.78,Medium
65.36,2.53,1.82,5662.26,2.55,51.08,Low
53.96,3.76,2.3,9568.97,10.55,71.62,Low
81.07,4.66,1.98,4787.24,7.04,24.29,Medium
106.87,4.62,2.37,5820.77,8.64,72.25,Medium
89.51,4.03,6.88,7381.62,1.7,22.47,Low
63.99,2.84,4.76,2606.31,7.13,79.4,Low
80.73,1.46,1.8,11649.18,12.44,49.35,Medium
94.4,4.25,2.53,6434.8,11.17,72.29,Medium
64.35,8.99,4.15,5293.8,12.34,55.13,Low
95.42,2.51,6.67,8860.07,5.58,76.86,Medium
55.79,1.68,2.45,3183.45,1.36,48.07,Low
83.8,1.93,7.85,4460.26,8.8,96.19,High
109.06,6.27,1.67,14445.3,11.89,93.5,High
101.36,1.58,7.06,3820.19,10.82,86.28,High
76.81,5.41,2.88,6271.95,7.05,70.69,Low
71.19,6.87,5.86,13172.03,7.09,59.04,High
45.16,7.08,6.13,10990.89,7.15,73.13,Medium
100.26,7.26,3.78,14525.12,12.46,59.58,High
98.84,3.37,5.05,8535.52,7.54,47.5,Low
47.99,5.82,6.86,342.59,13.98,32.64,Medium
45.04,8.64,2.42,10360.02,2.41,72.0,Low
101.84,7.95,1.65,5470.49,1.7,73.16,High
48.37,5.82,6.08,11352.96,6.72,27.3,Medium
45.07,4.55,1.93,3470.24,10.36,20.74,Medium
98.11,8.9,3.96,2069.41,1.53,50.65,Low
51.71,3.62,3.09,5802.54,12.29,89.96,Medium
49.45,5.29,5.27,2545.34,5.59,37.04,Low
104.79,5.74,4.1,3336.95,13.5,31.2,Medium
83.32,3.76,7.74,4786.1,2.53,42.16,Low
61.13,5.61,6.05,4345.32,14.15,22.15,Medium
58.35,5.66,2.32,5937.09,9.87,82.7,Low
77.17,1.46,4.5,8949.55,8.16,98.22,Medium
105.71,1.62,7.03,8568.87,5.8,74.64,Medium
107.04,7.05,1.12,1106.24,4.3,23.19,Medium
106.66,3.88,3.01,10718.17,11.62,53.89,Medium
50.36,5.06,5.31,4234.27,4.99,60.9,Low
108.33,1.82,3.29,8837.91,11.57,71.99,Medium
65.16,4.22,7.67,3655.7,4.04,93.97,Low
74.47,5.68,3.17,11151.23,11.24,29.56,Medium
90.6,1.89,7.67,7892.78,11.85,77.66,High
69.17,6.87,7.11,11020.74,2.21,91.99,High
97.46,2.81,1.45,10713.62,8.86,26.17,Medium
78.2,0.97,7.02,2586.53,2.78,81.87,Medium
88.82,1.48,6.19,138.27,12.95,20.98,Low
75.66,3.76,2.05,13974.29,12.93,64.23,Medium
59.59,2.61,7.41,4867.03,12.48,65.72,Low
77.63,8.17,2.26,12084.64,14.73,96.33,High
102.0,7.86,6.41,4729.4,1.75,56.54,Medium
58.04,5.29,3.13,9378.49,7.23,67.34,Low
109.86,7.1,6.13,8243.73,12.04,32.05,High
46.55,5.1,5.45,10432.57,0.64,46.8,Low
100.19,6.68,1.73,7994.24,3.95,59.36,Medium
108.22,1.71,2.96,754.11,3.86,87.64,Low
90.56,3.67,7.82,1365.05,1.89,30.68,Medium
49.86,5.33,4.04,14466.85,3.93,40.88,Low
105.19,3.84,6.82,4961.15,7.06,38.69,Medium
53.85,7.05,1.76,1674.3,7.02,45.12,Medium
79.84,8.7,2.45,4693.79,4.34,29.59,Low
97.49,3.09,5.93,9089.21,3.62,88.53,Medium
50.93,2.61,3.49,7750.55,10.32,40.81,Low
47.02,3.94,4.17,11246.37,4.12,56.96,Low
52.89,1.02,6.47,3412.09,3.37,52.05,Low
82.85,2.7,6.69,424.82,1.43,92.2,Medium
97.6,1.28,6.93,12152.42,2.28,95.38,High
55.92,5.38,6.75,5985.48,0.93,74.66,Medium
68.01,8.22,2.92,6745.57,2.66,69.13,Low
60.98,3.01,3.88,8305.26,1.38,42.38,Low
72.25,5.96,6.58,3812.3,14.91,63.49,Medium
109.31,7.15,3.51,8213.32,7.53,93.01,High
65.9,2.8,1.18,8997.03,0.92,84.86,Medium
48.81,8.93,4.71,11525.95,14.99,97.92,High
61.11,2.55,4.74,11889.43,11.19,81.12,Medium
82.42,8.85,3.72,14034.57,14.88,33.9,High
83.51,7.35,5.88,13718.3,0.91,76.04,High
81.63,5.29,2.32,14821.29,13.28,59.38,Medium
56.41,0.82,1.39,9064.78,0.79,58.24,Low
104.66,2.21,1.91,10782.37,13.82,87.54,High
48.87,1.76,5.93,2210.62,2.11,62.1,Low
107.44,3.68,7.59,5994.37,1.96,44.14,Medium
108.43,6.72,4.06,9625.06,7.56,45.38,High
90.08,8.4,6.51,3426.23,9.04,34.03,High
92.71,3.0,2.24,126.79,10.68,65.83,Medium
47.1,5.62,7.45,14516.22,3.7,65.24,Medium
54.14,6.84,2.67,14737.46,2.93,90.83,Medium
98.41,6.2,6.11,5102.67,0.67,36.77,Low
67.78,7.19,6.04,817.4,6.85,53.57,Medium
102.5,4.69,3.65,8235.76,1.97,58.36,Medium
87.31,6.34,2.14,1198.27,12.76,43.59,Medium
61.97,1.39,3.39,13330.18,2.83,26.0,Low
66.97,8.87,7.25,10597.12,6.75,72.29,High
102.83,1.84,1.71,3162.7,3.25,75.78,Medium
62.24,2.89,2.66,839.57,8.79,87.19,Low
48.54,0.53,1.61,12376.07,9.56,58.43,Medium
46.67,1.95,3.04,1320.85,12.73,44.67,Low
75.61,8.11,2.86,9663.81,6.12,49.68,Medium
69.01,4.29,2.84,7029.36,3.78,41.48,Low
54.82,6.42,1.68,10055.3,12.22,53.12,High
59.79,1.02,3.71,7886.48,14.5,74.97,Medium
82.23,2.5,3.09,5982.59,12.88,22.78,Medium
103.53,7.3,5.74,9342.07,2.24,80.58,High
106.69,1.92,2.48,2971.62,1.12,26.27,Low
58.12,7.49,2.04,8966.21,5.14,78.17,Medium
50.66,5.23,4.86,12863.7,8.04,93.37,Medium
96.13,5.8,4.66,6351.95,6.51,31.86,Medium
82.87,8.7,1.7,1673.96,11.8,82.86,High
102.21,7.96,2.85,9856.34,8.79,57.84,Medium
62.9,1.72,5.26,10435.55,1.06,91.17,Low
89.88,0.92,4.33,4101.91,5.9,47.03,Low
65.21,7.66,7.01,10304.3,14.6,38.24,High
108.32,4.27,6.78,4114.36,6.54,71.64,Medium
73.71,8.26,3.85,7318.46,7.99,49.91,Low
78.49,1.85,3.18,7651.25,2.47,88.1,Medium
46.88,2.14,6.83,12570.95,4.12,56.52,Medium
90.8,2.83,6.76,7626.38,9.71,29.91,Medium
60.73,4.65,4.12,14411.75,7.38,64.11,Medium
55.63,8.1,6.24,10363.87,4.63,50.93,Medium
100.5,7.13,2.5,3398.13,3.76,36.54,Medium
78.36,7.85,7.77,10264.78,7.37,30.59,High
84.07,0.57,2.77,12095.77,4.93,97.36,Medium
72.55,3.7,3.44,3854.78,7.27,74.18,Low
70.81,1.37,4.58,9969.1,12.73,49.94,Medium
84.59,3.04,1.76,1051.17,14.83,71.25,Medium
61.97,6.54,7.25,4551.99,2.67,81.24,Medium
97.35,7.32,5.2,9941.9,10.37,77.7,High
109.84,2.71,3.93,5885.3,1.01,76.65,Medium
98.04,3.42,5.99,10326.14,9.76,58.06,Medium
77.98,7.69,6.88,13159.77,3.13,27.81,Medium
93.16,6.66,4.91,13698.11,14.23,91.97,High
59.45,2.4,7.1,6365.04,13.36,49.73,Medium
64.11,7.74,4.29,13009.26,8.96,95.54,Medium
75.69,2.15,1.84,10242.4,8.18,53.05,Low
53.93,2.2,3.86,8584.11,13.65,56.61,Low
101.06,2.03,1.57,5056.18,14.81,45.07,Medium
45.31,2.82,6.33,2612.23,11.59,59.17,Low
53.41,4.19,4.01,6492.48,7.42,20.37,Low
57.96,3.67,1.1,4900.98,12.58,35.25,Low
85.73,2.61,5.85,5230.81,2.37,50.68,Low
64.9,1.05,1.32,14232.1,7.11,61.62,Medium
66.96,8.05,7.97,5206.72,13.57,48.74,Medium
55.72,8.21,6.68,384.96,3.75,98.79,Medium
